,smiles
1164,O=C(NCCN1CCOCC1)C1C(C(=O)NCc2ccc(Br)cc2)C2C=CC1C21CC1
1165,C[C@@H](c1nc(-c2cnc(NC3CC(F)(F)C3)c(OC3CC3)n2)no1)[C@H](N)C(F)=C1CCCCC1
1166,Cc1nnc(C)n1[C@H]1C[C@H]2CC[C@@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1cccc(F)c1
1167,CC(=O)N(CC1CCCO1)c1nc(C2(CN[C@@H]3C[C@H]3c3ccccc3)CC2)cs1
1168,NC(=O)c1cccnc1O[C@H]1CC2(C1)C[C@H](N1C(=O)NC(CC3CCCCC3)C1=O)C2
1169,CN(C(=O)c1ccc2c(c1)C(N1CCCNCC1)C(O)C(C1CCCCC1)O2)C1CCCCC1
1170,NC(=O)c1cn(CC(=O)N2[C@@H]3C[C@@H]3C[C@H]2C(=O)NC[C@H]2CCCC(F)(F)C2)c2ccccc12
1171,CCCN1C(=O)C2c3[nH]c4ccccc4c3C3(O)CCC4(CN(C)C(=O)O4)C1C3C2CO
1172,CC(C)CC(NC(=O)C(CC(C)C)NC(=O)c1cccc2ccccc12)B1OC2CC3CC(C3(C)C)C2(C)O1
1173,Cc1noc(CCNC(=O)[C@H]2[C@H](C(=O)NCCCCN3CCCC3)[C@H]3C=C[C@@H]2C32CC2)n1
1174,CSc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)C2CCC(N3CC(C(C)C)C3)CC2)c2ncccc12
1175,NC(=O)c1ccc(-c2ccc([C@@H]3C[C@H]3NC3CCOCC3)c(F)c2)cc1OC1CCCCC1
1176,NC(=O)[C@@H]1CCN(C(=O)C2CC23CCC3)C[C@@H](C(=O)Nc2ccc(N3CCCCC3)cc2)C1
1177,C[C@@H]1COCCN1c1cc(N=S2(=O)CCOCC2)nc(-c2ccnc3[nH]ccc23)n1
1178,CCCCNc1ncc(-c2ccc(CN3CCOC[C@H]3C)cn2)c(NC2CCC(O)CC2)n1
1179,Cc1ccc(NC(=O)N2CC[C@H](F)C2)cc1-c1ccc2c(N3CCOC[C@@H]3C)nc(N3CCOC[C@@H]3C)nc2c1
1180,Fc1cccc(Nc2nc(NCCC3CCCNC3)cc(N3CCOCC3)n2)c1
1181,COCCNc1cc(N2CCOCC2)nc2c(-c3ccnn3C3CCCCO3)nccc12
1182,CC(=O)Nc1cccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)c1
1183,Cc1nc(N2CCOCC2)c(C#N)c(N(C)c2ccc(C)c(CN3CCN(C)CC3)c2)n1
1184,CC1NCCCC1C(=O)N1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1
1185,Fc1ccc(Nc2nc(N3CCNCC3)nc(N3CCOCC3)n2)cc1
1186,Nc1ncc(-c2nc(N3CCOCC3)nc3c2cnn3Cc2cnccn2)cn1
1187,NC(=O)C1=CCCN(c2cnc3c(Nc4ccc(N5CCOCC5)c(Cl)c4)n[nH]c3n2)C1
1188,COc1ccc2[nH]c(C(=O)N3CCN(c4cc(N5CCOCC5)ncn4)CC3)cc2c1
1189,CC1(C)CN(c2nc(N3CCOCC3)c3cnn(CCCc4ccccc4)c3n2)CCO1
1190,CC(C)(N)CC(=O)N1CCc2c(nc(N3CCCc4cc(N5CCOCC5)ccc43)nc2N[C@H]2CCOC2)C1
1191,CCCC1CN(c2ncnc3[nH]cc(C4OCC(N5CCOCC5)CO4)c23)CCO1
1192,C[C@H]1COCCN1c1nc(-c2cnc(N)nc2)c2c(n1)N([C@@]13C[C@H]1CN(C)C3)CC2
1193,N[C@@H]1CCCN(c2c(-c3ccccc3)nnc3ccc(N4C[C@H]5C[C@H]4CO5)cc23)C1
1194,Fc1cc(Br)c2c(c1-c1ccnc(Nc3ccc(N4CCOCC4)c(CCN4CCOCC4)c3)n1)OCO2
1195,C[C@H]1COCCN1c1nc(N2CCOCC2)nc2ccc(-c3ccccc3)nc12
1196,C[C@@H]1COCCN1c1nc(-c2cnc3[nH]ccc3c2)nc(N2CCN(S(=O)(=O)N3CCCCC3)[C@H](C)C2)n1
1197,CNc1nc(C)c(-c2nc(Nc3ccc(N4CCOCC4)cn3)ncc2CO)s1
1198,COc1cc(-c2c(C)cc(Cl)cc2OC)ccc1C#N
1199,N#Cc1nccnc1-c1ccc2c(c1)OCCCO2
1200,COc1cc(C(=O)N(CCC#N)Cc2cccnc2)cc(OC)c1C
1201,CCn1nc(-c2ccc3c(c2)OCCCO3)cc(CC#N)c1=O
1202,COc1cccc2oc(=Nc3ccc(N(C)C)cn3)c(C#N)cc12
1203,CNC(C#N)CCOc1ccc2c(c1)OCO2
1204,COCCCNC(=O)c1ccc(COc2ccc(C#N)cc2OC)o1
1205,N#Cc1c(-c2ccc(Cl)cc2)[n+]([O-])c2cc3c(cc2[n+]1[O-])OCO3
1206,COCCCNC(=O)C(C)Oc1ccc2cc(C#N)ccc2c1
1207,COc1cc2c(cc1OC)CN(C1Cc3ccccc3CC1C#N)CC2
1208,CCOc1nc2c(c(C)c1C#N)CCCC(c1cc(OC)c(OC)c(OC)c1)N2
1209,COc1ccccc1C(CNC(=O)c1ccc(C#N)cc1)OC
1210,COc1ccc(-c2cc(-c3ccc(OC)c(OC)c3)c(C#N)c(C#N)n2)cc1OC
1211,COc1ccccc1C1C(C#N)=C(N)Oc2cc(OC(F)(F)F)ccc21
1212,COc1ccc(C)cc1NC(=O)Cc1cccc(OCC#N)c1
1213,COc1ccc(C(C#N)NC(=O)c2ccc(OC)c(OC)c2)cc1
1214,Cc1ccc(Nc2nc(Nc3ccc(N4CCN(CCNC(=O)CO[N+](=O)[O-])CC4)cc3)ncc2Cl)cc1
1215,CN1CCN(CCCN(C(=O)Nc2ccc(F)c(Cl)c2)[C@@H]2CC[C@]3(c4cccc(N5CCN(C)CC5)c4)C[C@H]23)CC1
1216,C=CC(=O)N1CCC(n2ccc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)CC1
1217,COc1cc2nc(N3CCCCC3)nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3)c2cc1OC
1218,CCN1CCN(CCNc2nc(NCc3ccc(C)cc3)nc(N3CCCN(C)CC3)n2)CC1
1219,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2OC)ncc1Cl
1220,Cc1nnc(Sc2ccc(Cl)c(NC(=O)Nc3ccc(N4CCN(C)CC4)cc3)c2)s1
1221,COc1cc(NC(=O)CCN2CCN(c3cc(C)ccc3C)CC2)ccc1NC(=O)Nc1cnc(C#N)cn1
1222,COc1ccc(NC(=O)c2ccc(Cl)c(Nc3ncnc4cnc(N5CCN(C)CC5)nc34)c2)cc1C(F)(F)F
1223,COc1cccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(N5CCCN(C)CC5)nc34)c2)c1
1224,COCCNc1nc(Nc2ccc(C(=O)N3CCN(C)CC3)cc2)ncc1Br
1225,CCc1ccc(Nc2nc(N3CCNCC3)nc3cc(OCCCNC(=O)CN)ccc23)cc1.Cl.Cl
1226,COc1cc2nc(N3CCN(C(=O)Nc4ccc(C(C)(C)C)cc4)CC3)cc(N)c2cc1OC
1227,CCC(=O)N1CC[C@H](N2C(=O)N(c3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1
1228,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2cccc3cnc4nc(C)ccc4c23)n1
1229,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1N[C@H]1CC[C@](C)(O)CC1
1230,COc1cc(OC)c(Cl)c(-c2cc3cnc(Nc4cnn(CCN5CCN(C)CC5)c4)nc3n(C)c2=O)c1Cl
1231,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOC)CC3)cc2OC)nc2nc[nH]c12
1232,COC(=O)N1CCN(c2ccc(Nc3ncc(Cl)c(O[C@H]4CO[C@H]5[C@@H]4OC[C@H]5OC)n3)nc2)CC1
1233,COc1cc2c(cc1Nc1ncc3ccc(-c4cccc(N5CCN(C)CC5)c4)nn13)CNCC2
1234,COc1cc(OC)c(Cl)c(N2Cc3cnc(-c4cn(C)nc4C)cc3N(CCN3CCN(C)C(C)C3)C2=O)c1Cl
1235,COc1ccc(-n2c(C(N)=O)cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)cc1
1236,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C(C)C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
1237,COc1cc(N2CCNCC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1
1238,Cc1cccc(Cl)c1NC(=O)c1cnc(Nc2cc(N3CCN(C)CC3)cc(N3CCN(C)CC3)n2)s1
1239,Nc1ccc(Cn2cccc(NC(=O)[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)c2=O)cn1
1240,Cc1cc2c(NC(=O)c3ccccc3)cccc2n1-c1nc2c(c(NCc3ccccc3)n1)CCC2
1241,O=C1N(Cc2cccc(CO)c2)C(Cc2ccccc2)C(O)C(O)C(Cc2cccc(CO)c2)N1Cc1cccc(CO)c1
1242,CC(C)c1nn(Cc2ccc(-c3ccccc3-c3noc(C(=O)NCc4ccccc4)n3)cc2)c(=N)s1
1243,O=C(CC1NCCN(c2cc(O)nc3ccc(Cc4ccc5ccccc5c4)cc23)C1=O)Nc1ccccc1
1244,COc1ccc(C(=O)Nc2ccc(NC(=O)C(c3ccccc3)c3ccccc3)c(S(=O)(=O)O)c2)cc1
1245,CCNC(=O)Nc1cccc(-c2oc3ncnc(NC[C@@H](C)NC(=O)c4cc(F)ccc4C)c3c2-c2ccccc2)c1
1246,CCOc1cc2ncnc(Nc3ccc4occ(Cc5cccc(B(O)O)c5)c4c3)c2cc1NC(=O)/C=C/CN(C)C
1247,COc1cc(C(=O)N2CCC(N3C(=O)OCc4cc(Cl)ccc43)CC2)ccc1O[C@H](COCCO)c1ccccc1
1248,O=C1CN(C(=O)Cc2ccc(OCCCCOc3ccc4c(c3)CCC4)cc2)c2ccccc2N1
1249,COc1cccc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n(C[C@H](NCc3ccncc3)c3ccccc3)c2=O)c1
1250,Cc1c(CCC(=O)Nc2cccc(C(=O)NC3CC3)c2)c(=O)oc2cc3occ(-c4ccccc4)c3cc12
1251,C[C@@H](NC(=O)c1ccccc1)C(=O)N1CCC(N2C(=O)N(c3ccccc3)C[C@H]2c2ccc(Cl)cc2)CC1
1252,Cc1ccc(NC(=O)N(C)CC2OCc3ccccc3-c3c(n(C)c4ccccc34)C(=O)N(C(C)CO)CC2C)cc1
1253,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(-c5cccc(Cl)c5)cc4)c3)ncnc12
1254,O=C(Nc1nc2ccc(C3(O)c4ccccc4C(=O)N3Cc3ccccc3)cc2[nH]1)c1ccccc1
1255,CN(C)C(=O)C(NC(=O)c1ccc2c(c1)nc(CCC(C)(C)C)n2CCCc1ccccc1)c1ccccc1
1256,Cc1cc(Cn2c(=O)ccn([C@H]3C[C@H](OCc4ccc5ccccc5c4)[C@@H](CO)O3)c2=O)ccc1CN
1257,COc1ccc(N(C)C(=O)[C@@]2(c3ccccc3)C[C@H]2CN2CCC(O)(c3ccc(Cl)cc3)CC2)cc1C(N)=O
1258,Cc1ccccc1C(=O)N1Cc2ccc(-c3ccnc(Nc4ccc(Cn5ccnc5)cc4)n3)cc2C1
1259,CCNC(=O)C(Cc1ccccc1)NC(=O)CSc1nc(-c2ccccc2)cc(-c2ccc(C)cc2)c1C#N
1260,CCC[C@@H]1N(Cc2ccc(Oc3ccccc3)cc2)C(=O)OC12CCN(C(=O)Nc1ccccc1N)CC2
1261,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2cccc(OCCc3ccccc3)c2)c2c(=O)n(C)ccn12
1262,COc1ccc(CNc2nc(SCc3c(F)cc(Br)cc3F)nc(=O)n2C)cc1
1263,Cc1ccc(-n2c(=O)c3ccccc3n3c(SCC(=O)Nc4ccc(Br)cc4)nnc23)cc1
1264,CN(C)C(=O)C1Sc2ccc(C(C)(C)C)cc2-c2c(C(=O)NCCc3ccccc3)c(C#N)cn2C1=O
1265,COc1cc(Cl)c(C)cc1NC(=O)Cn1c(SCc2ccc(C(N)=O)cc2)nc2ccccc21
1266,Cc1ccc(C(=O)Nc2ccc3nc(SCC(=O)NCc4ccc(Cl)cc4)sc3c2)cc1.Cl
1267,Clc1ccc(Nc2nnc(SCCCSc3nnc(-c4ccccc4)o3)s2)cc1
1268,Cn1c(CC(=O)Nc2cccc3ccccc23)nnc1SCC(=O)Nc1nncs1
1269,O=C(CSc1nnc(COc2ccc3c(c2)OCO3)n1CCc1ccccc1)Nc1nccs1
1270,CCCCCCc1c(O)nc(SCC(=O)Nc2ccc(N(C)C)cc2)nc1O
1271,Cc1ccc(NC(=O)CSc2nnc(SCc3nc4ccccc4o3)s2)cc1
1272,COC[C@@H](COCCO)N1C(=O)[C@H](Cc2ccc(-c3cccc(F)c3)cc2)S[C@H]1c1ccc(Cl)cc1
1273,CSc1cc(Cl)c(C)cc1-n1c2c(cc(-c3nc(=O)o[nH]3)c1=O)CN(CCCc1ccccc1)C(=O)C2
1274,CCCCC(NC(=O)CSc1nc2cc(Cl)ccc2[nH]1)c1ccc(OC)cc1
1275,Cc1cccc(NC(=O)Cn2c(SCc3cccc(F)c3)nc3cccnc32)c1C
1276,Cc1ccc(NC(=O)C[C@H]2S[C@@H](Nc3nc4ccc(SC(F)(F)F)cc4s3)[C@H](O)[C@@H](O)[C@@H]2O)c(C)c1
1277,CN(C)C(=O)c1ccc(C2=Nn3c(nnc3-c3ccc(-c4ccccc4)cc3)SC2)cc1
1278,Cn1c(CNC(=O)c2ccccc2Cl)nnc1SCC(=O)Nc1ccccc1
1279,COc1ccc(NC(=O)CSc2nnc(-c3ccc(NC(=O)C=Cc4ccc(Br)cc4)cc3)o2)cc1
1280,COc1ccc(NC(=O)CSc2nc(C3CCCC3)n(-c3ccccc3)n2)cc1
1281,CCc1cccc(NC(=O)CSc2nc3ccc(NC(=O)c4ccc(F)cc4)cc3s2)c1
1282,COc1cccc(Cc2cc(=O)[nH]c(SCC(=O)N3CCCc4ccccc43)n2)c1
1283,Cc1cnc2n(c1=O)CC(C(=O)Nc1ccc(C(=O)Nc3cccc4cccnc34)cc1)CS2
1284,CCN(CC)CCn1c2c(c(SCC(=O)Nc3cccc4ccccc34)nc1=O)CCCC2
1285,CCc1ccc(-n2c(Cc3c[nH]c4ccccc34)nnc2SC(C)C(=O)Nc2nc(C)cs2)cc1
1286,COc1ccc(Nc2nc(SCC(=O)N3CCOCC3)nc(SCc3ccccc3Cl)n2)cc1
1287,O=C(CSc1nnc(-c2ccncc2)n1-c1ccccc1)Nc1ccccc1F
1288,Cn1c(Cn2cc(I)c(=O)[nH]c2=O)nnc1SCC(=O)Nc1ccc(Cl)cc1
1289,Cl.O=C(CSc1nnc2ccc(-c3ccccc3Cl)nn12)NC1CCCc2ccccc21
1290,Cc1cc(Cl)ccc1NC(=O)CSc1nc2ccccc2c(=O)n1CC1CCCO1
1291,O=C(Sc1cn(-c2ccc(I)cc2)c2cc(Br)ccc12)c1ccncc1
1292,CCc1ccc(NC(=O)CSc2nnc(CNc3ccccc3)n2C)cc1
1293,O=C1c2c(O)c(=O)ccn2N2CN1CCOc1cccc3c1[C@H]2c1ccccc1SC3
1294,COc1ccc(-c2cc(C(=O)Nc3cccc(-c4cc5cc(OC)c(OC)c(OC)c5oc4=O)c3)ccc2OC)cc1
1295,COc1ccc(-c2csc(NC(=O)c3cccc(OCCCN(C)C)c3)n2)cc1OC
1296,COc1ccc(-c2ccc3oc(CNCCN(C)C)c(-c4ccc(OC)c(OC)c4)c3c2)cc1OC
1297,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC
1298,COc1ccc(CNC(=O)c2ccccc2Cn2ccc3cc(OC)c(OC)cc32)c(OC)c1
1299,COc1cc(CNC2CCCCC2)c2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-]
1300,CCC[C@@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@@H]1c2cc(OC)c(OC)cc2CCN1C(=O)CO
1301,COc1cc(NC(=O)c2coc3cc(OC)c(OC)c(OC)c3c2=O)c(C)cc1NC(C)=O
1302,COc1ccc2cc(-c3oc4cc(OC)c(OC)c(OC)c4c(=O)c3O)ccc2c1
1303,CCOC(=O)Oc1ccc(-c2coc3cc(OC(=O)OCC)ccc3c2=O)c(OC(=O)OCC)c1
1304,COc1ccc2c(c1)[C@@H]1[C@H](CO2)[C@H](c2cc(OC)c(OC)c(OC)c2)[C@]2(C)C(=O)Nc3ccc(C)cc3C(=O)N12
1305,COc1cc(COc2ccc(CN(CC(N)=O)C(=O)OC(C)(C)C)cc2C(F)(F)F)cc(OC)c1OC
1306,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)c2cc1OC
1307,COCCN1CC(C)(C)Oc2nc(N(C)C)nc(-c3ccc(NC(=O)Nc4ccc(OC)nc4)cc3)c2C1=O
1308,COc1cc(-c2cc(NC(=O)/C=C/C3CCCCC3)cc(OC)c2OC)ccc1-n1cnc(C)c1
1309,COc1cc(-c2nc(-c3ccccc3)c(-c3cc(OC)c(OC)c(OC)c3)[nH]2)cc(OC)c1OC
1310,COc1cccc(N2CCN(Cc3cccnc3C(=O)NCCc3ccc(OC)c(OC)c3)CC2)c1
1311,COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(=O)c1ccccc1Cl)CC2
1312,COc1cc(/C=C/C(=O)N(Cc2cccnc2)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC
1313,COc1cc2c(Nc3cc(Cc4ccccc4)cc(C(F)(F)F)c3)ncnc2c(OC)c1OC
1314,COc1cc(C(=O)NC2CCC(CCN3CCC(c4coc5ccccc45)CC3)CC2)cc(OC)c1OC
1315,CCOP(=O)(OCC)C(c1cc(OC)c(OC)c(OC)c1)c1c(O)c2ccccc2oc1=O
1316,COc1cc(NC(=O)C2Cc3ccccc3CN2C(=O)Cc2ccc(Oc3ccncc3)cc2)cc(OC)c1OC
1317,COc1ccc2c(c1Nc1nc(N)nc3c1-c1c(cc(OC)c(OC)c1OC)CC[C@@H]3C)OCO2
1318,CCc1nn2ccc(-c3nc4c(cc3F)C(C)(c3ccc(Cl)cc3)C(=O)N4)c(C#N)c2c1Cl
1319,Cc1c(-c2cc3nc(Nc4cnn(C)c4C)ncc3c(N)c2F)cnc2c1NCCO2
1320,N#C[C@@H]1CCCN1C(=O)[C@H](Cc1ccc(-n2cnnn2)cc1F)n1cc(-c2ccc(C(F)(F)F)cc2)nn1
1321,COc1ncc(-c2cc(NC(=O)c3cncc(C(F)(F)F)c3)ccc2C)cc1C1(F)COC1
1322,COc1cc2nccc(Oc3ccc(NC(=O)c4nn(C(C)C)c(=O)n(-c5ccc(F)cc5)c4=O)cc3F)c2cc1OC
1323,Fc1ccc2cccnc2c1-c1c(C(F)F)nc2ccc(N3C[C@H]4C[C@@H]3CN4)nn12
1324,CCc1nc2cc(OC3CCN(C(C)=N)C3)ccc2n1Cc1ccc(-c2cccnc2)cc1F
1325,Cc1csc(-c2ccc(Cn3c(-c4cnn(C5CCOCC5)c4)nc4cnc(OC(C)C)nc43)c(F)c2)n1
1326,COc1cc(F)c2c(C(=O)NCc3c(C)cc(C)[nH]c3=O)c(C(C)C)n(-c3ccc(OC)c(F)c3)c2c1
1327,CCN(CC)c1ncccc1-c1ccc(-c2nc3c(C(N)=O)cc(F)cc3[nH]2)c(F)c1
1328,Nc1cnc(-c2ccc(C3CCC3)c(OCC(O)Cn3cccn3)c2F)cn1
1329,Cc1c(-c2cc3cc(NC(=O)O[C@H]4CC[C@H](n5ccnc5)CC4)ncc3c(N)c2F)cnc2c1NCCO2
1330,COc1cc(-c2cccc(-c3cccc(NC(=O)c4c[nH]c(=O)n(C)c4=O)c3C)c2C)cc(F)c1CNCC1CC1
1331,CCNc1cc(F)c(C(=O)Nc2ccc(OC)cc2)cc1-c1ncc(-c2cnc(CNC)cc2C)s1
1332,Cc1noc(C)c1-c1cnc2c3ccc(F)c(F)c3n([C@H](c3ccccn3)C3CCOCC3)c2c1
1333,Cc1ccnc(-c2cnc(N3CC4(CC4)c4ccc(C(=O)N(C)C)cc43)c(F)c2)c1
1334,CN(C)CCCNc1cc2nc3n(Cc4ccccc4)c(=O)c(C(=O)NCc4ccccc4)cn3c2cc1F
1335,Cc1cc(OCc2cn(Cc3c(F)ccc(-c4ccccc4)c3F)nn2)nc(Oc2cccc3[nH]c(=O)[nH]c23)n1
1336,Cc1nn(-c2ccc(C(=O)NCc3ccncc3)cc2F)c(=O)c2nc(C)n3nc(-c4ccccc4)cc3c12
1337,CN(C(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F)C1CCCCC1
1338,NCc1cccc(-c2ncc(OCC3CCNCC3)nc2-c2ccc(-c3ccoc3)c(F)c2)c1
1339,CC(C)Oc1ccc(Nc2nc3cc(F)c(N4CC5CCC(C4)O5)cc3n3cncc23)nc1
1340,CCn1c(CO)nn(-c2cc3c([C@@H](C)C(=O)Nc4cccc(-c5cnn(C)c5)c4F)nn(C)c3cc2Cl)c1=O
1341,Cc1ccc(OC2CCC2)nc1-c1ccc(F)c2c1CCN(Cc1c(C)nn(CC(C)(C)O)c1C)C2
1342,CC(C)(O)c1ccnc(-c2ccc(-c3nc(C(=O)N4CCOCC4)cnc3N)c(F)c2)n1
1343,CNc1ccc2ccc(OC[C@H]3O[C@@H](n4cc(-c5ccc(F)cn5)c5c(N)ncnc54)[C@@H](F)[C@@H]3O)cc2n1
1344,CCc1ncnc(-c2ccc(C(=O)N3CCCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1
1345,Cc1cc2c(-c3ccc(Oc4cccnc4)cc3F)cnc(NC3CCN(C4CC4)CC3)c2[nH]c1=O
1346,CN(CC1CC1)C(=O)[C@@]1(F)C[C@@H](C(F)(F)F)N(c2ncnn3cc(-c4cnc(N)nc4)c(Cl)c23)C1
1347,Cc1ccc(-c2cccc(-c3ccc4c(c3)N(C)C(=O)[C@@H](NC(=O)c3n[nH]c5c3CCC5)CO4)c2F)cn1
1348,C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1cccc(F)c1)C(F)(F)F
1349,Cc1ccncc1-c1cc2cc(NC(=O)[C@@H]3[C@@H](C)[C@H]3c3cnn(C)c3)ncc2c(N)c1F
1350,C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F
1351,CC(=O)N1CCN(c2ccc(-c3cc4c(-c5cnn6ncccc56)ccnc4[nH]3)c(F)c2)CC1
1352,COc1ccc(C(O)(c2ccc3[nH]nc(-c4cc(NC(=O)C5CC5)ccc4F)c3c2)c2cncn2C)cn1
1353,Cc1cc(C)cc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)c1
1354,CC(C)n1cc(NC(=O)Cn2cnc3c(ncn3C3CCCC3)c2=O)cn1
1355,CCCn1cnc2c1c(=O)n(C)c(=O)n2Cc1ccccn1
1356,Cn1c(=O)c2c(ncn2CCCOC(=O)Nc2ccc(Cl)c(Cl)c2)n(C)c1=O
1357,Cn1c(=O)c2c(ncn2CCCCN2CCN(c3ccc(F)cc3)CC2)n(C)c1=O
1358,COc1ccccc1C(C)NC(=O)Cn1c(=O)c2c(ncn2C)n(C)c1=O
1359,Cc1nc2c(c(=O)[nH]n2C)n1CCN(Cc1ccccc1)C1CC1
1360,Cc1nc2c(=O)[nH]c(=O)n(C)c2n1CC(=O)N1CCCc2ccccc21
1361,Cc1ccccc1N1CCn2c1nc1c2c(=O)[nH]c(=O)n1C
1362,Cn1cnc2c1c(=O)n(CCCO)c(=O)n2-c1ccccc1
1363,CCc1ccc(-c2nc(Cn3cnc4c([nH]c(=O)n4C)c3=O)no2)cc1
1364,Cc1ccc(Nc2nn3c(=O)c4c(ncn4C)n(C4CCCCC4)c3nc2=O)c(C)c1
1365,COc1cccc(Cn2c(NCCN(C)C)nc3c2c(=O)[nH]c(=O)n3C)c1
1366,CCCn1c(=O)c2c(nc3n2CCN(CCc2ccc(OC)c(OC)c2)C3)n(C)c1=O
1367,CCn1c(=O)c2c(nc(NC3CCC(C)CC3)n2Cc2ccccc2Cl)n(CC)c1=O
1368,C=CCn1c(Cn2cnc3c2c(=O)n(C)c(=O)n3C)nc2ccccc21
1369,COCCCn1c(SCCOc2ccccc2C)nc2c1c(=O)[nH]c(=O)n2C
1370,COCCCn1c(=O)n(C)c(=O)c2c1nc1n2CCS1
1371,O=c1c2c(ncn2CC2OCCO2)n(O)c(=O)n1C1CCCCC1
1372,CCn1cnnc1CNC(=O)CCn1c(=O)n(C)c2ccccc21
1373,C=CCn1c(=O)c2c(nc(-c3cnccn3)n2CC=C)n(C)c1=O
1374,CCCn1c(=O)c2nc(NCc3ccc(NC(C)=O)cc3)[nH]c2n(CCC)c1=O
1375,COc1cccc(CCCN(C)C(=O)CCc2c(C)[nH]c(=O)c(C#N)c2C)c1
1376,CN(C(=O)Cc1c[nH]c2ccccc12)C1(C#N)CCC1
1377,N#Cc1c(N2CCCCCC2)cc(Nn2cnnc2)[nH]c1=O
1378,Cc1cc(C)c(CNC(=O)c2ccc(C#N)cc2)c(=O)[nH]1
1379,N#Cc1ccc(-c2cnn(Cc3cc(=O)[nH]c4ccccc34)c2)nc1
1380,N#Cc1c(N2CCCC2)cc(-c2ccccc2)[nH]c1=O
1381,N#Cc1nc(-c2cccnc2)[nH]c1-c1cccnc1
1382,N#CCCCOc1cccc2c(=O)[nH]ccc12
1383,CC1CCN(c2[nH]c(Nc3ccccc3)nc2C#N)CC1
1384,CC(C)(C)Oc1ccc(C#N)c(F)c1C(=O)Nc1cc[nH]c(=O)c1
1385,Cc1cc(NC(=O)CCc2c(C)[nH]c(=O)c(C#N)c2C)no1
1386,COc1ccc(F)cc1-c1nc(C)c(C#N)c(=O)[nH]1
1387,CC(Nc1cc(C#N)c2cn[nH]c2c1)c1ccccc1
1388,N#CN1[C@H]2CC[C@@H]1[C@H](NC(=O)c1n[nH]c3ccccc13)C2
1389,COc1cc(C(=O)N2CC(c3ccc(C#N)cc3)C2)ccc1-c1cn[nH]c1
1390,Cc1[nH]c(=O)c(C#N)c(C)c1CCC(=O)Nc1ccccn1
1391,CCN(c1cc(C#N)ccn1)c1nc2ccccc2c(=O)[nH]1
1392,N#CCCN(C(=O)COc1ccc2cn[nH]c2c1)c1ccccc1
1393,N#CC(NC(=O)c1c[nH]nc1-c1ccc(Cl)cc1)c1ccc(F)cc1
1394,Cc1c(Cc2ccccc2)[nH]c2c(C#N)cnn2c1=O
1395,N#Cc1cccc(NCc2cnc3[nH]nc(C(N)=O)c3c2)c1
1396,COc1ccccc1-c1cc(=O)c(C#N)c[nH]1
1397,CCCCNC(=O)/C(C#N)=C/c1c(C)[nH]c2ncccc12
1398,CC(C)c1cc(NC(=O)COc2ccccc2C#N)[nH]n1
1399,N#Cc1c(N)nc(SCc2cccc(C(=O)NCc3ccc(F)cc3)c2)c(C#N)c1-c1ccc(Cl)cc1
